,user,location,tweet
0,BenTuckett1997,"Winnipeg, Manitoba","They were accused of plotting to overthrow the #Modi government. 
The evidence was planted, a new report says. 
https://t.co/nDOtX1KDbQ"
1,MirrorNow,India,"""People of #Bengal have to choose between #Modi govt's 'Vikas Model' and #MamataBanerjee's 'Vinas model.' More than… https://t.co/RTL4xbTmkA"
1,thuglaqisultan,India,"Thank you #Modi for not gifting Pangong Lake to #China , you are a #TrueHindu , unlike #ChachaNehru who gifted… https://t.co/5jID2MD8b1"
0,vinu7vinugmail," Cuddalore ,Tamilnadu,India ","Congratulations 💐 @PChidambaram_IN sir
on becoming Leader of the Opposition  (#RAJYASABHA)

You are the right perso… https://t.co/4tBEEwGNj9"
0,BoilerRoomTweet,,#India legislators move to rival #Koo as row with #Twitter escalates #aljazeera https://t.co/v1hVxoAICZ #apps #asia… https://t.co/JKULSYHsTJ
0,KharmihDavid,Shillong,"@EntrepreneurIND @debarghyawrites I already like #koo #Modi 
It will make Twitter a better place.
#kooapp 
#PMOIndia 
@PMOIndia"
1,IRA_Immigration,"507, 5th Floor, Vishwadeep Tower
District Center, Janak Puri West,
New Delhi-110058, India","Canadian PM calls Modi for vaccine supply

Visit us at: https://t.co/sPR4F0gYUi
Talk to our visa consultants at: +9… https://t.co/XJSQ2C95BG"
0,HemantJ26886104,,#stayalert  its is not just 65 rs toll money it can be a big scam in that even local government is involved Fraud f… https://t.co/dA9UHoEHCF
0,prasathhabi,தமிழ்நாடு ,"14.02.2021
Go.,...
Back.......
#MODI........."
1,zainrajper3,"Nawabshah, Pakistan","#Modi &amp; Imran are birds of the same feather
No difference you cant fight for your rights

If you will protest in In… https://t.co/5bBWvQe0Kd"
0,tweet2ssm,India,"@suhasinih In short, you are saying that #Trudeau is #Stupid enough to mention the farmers protests while requestin… https://t.co/4yOedr5Gm0"
1,bmbagri,India,@sgurumurthy #Modi #Govt did a fine job on #China #LAC #Standoff2  but let us not get carried away. We are to let g… https://t.co/NMsJOZmaJ7
0,DevaramGopinath,munagala.suryapet,@VishalKOfficial anna #VishalChakra releasing worldwide.... may be its #panindia  movie... of vishal anna... vishal… https://t.co/jrfL1RlJe9
0,MSMscarecrow,New Delhi,"Shameless #Motabhai asks people to vote on #Modi's name in #WestBengalElections.
Koi leader nahi hai kya… https://t.co/ekd0RW92yb"
1,devashak,,"One cannot be blindly opposing #Modi &amp; his government.
For example this scheme explained by this man is an amazing… https://t.co/hZiYCq0Tc5"
0,sadhna0412,NEW,#Modi govt is only sending #Covaxin doses to its security forces. Not even asking them if they want #Covaxin shot.… https://t.co/x7N95eWDtM
1,ayushbarthwal,,"#Modi has slammed opposition &amp; Communist for abusing our Enterpreneurs &amp; our strength 😎

Who made COVID-19 vaccines… https://t.co/dhyGLWdDtH"
0,Chetan0588,,"@ReallySwara @ReallySwara kudos to you... only few celebrities have the guts to stand for what is right. 
Bcoz toda… https://t.co/VHmrQFIzIx"
1,alshortsapp,"Dubai Marina, Dubai",India PM Narendra #Modi received a call from #CanadianPM Justin Trudeau where the two leaders spoke about #COVID19… https://t.co/91m2T3LhRV
1,ashishkumar9919,"Gurgaon, India","Canada PM @JustinTrudeau has requested PM #Modi to deliver #CoronaVaccine. If he expect India will help canada, He… https://t.co/zBc9liwdGM"
0,vivekuksood,New Delhi,"Has #Modi ever intended to heal ??

Just check is record as Gujrat CM or as country's PM.

It wouldn't be wrong to… https://t.co/QoRBbn0PBY"
1,UdaiHindu4ever,,@proudhindu2400 This could be the greatest troll to #Trudeau while #modi became the greatest troll-er of the modern social media community.
0,BandanaMrs,"KOLKATA ,West Bengal .INDIA .",MR @sambitswaraj MAY WE ASK U A QUESTION? WHY U PEOPLE ARE SO SELFISH ALWAYS EYEING ON OWN VOTE BANK/ELECTION NT CI… https://t.co/hAsbPqtxRH
1,imarpitmi,Mathura ➡️ Delhi,Modi might win elections in Canada as per today. Entire conservative party trolling Justin Trudeau over Modi's twee… https://t.co/WskTt7HHzg
0,itsrebil,Pakistan,"The Foreign Minister of UAE has been replaced. 
#islamabadprotest #zong #ShoaibAkhtar #PSL6 #Binance #Modi… https://t.co/ff1Xb09MyA"
1,Xyz42661917,Where Oppression Exist,"#Modi, chaddi boys n upper class minions are dreaming about taking India back to stone ages and allowing only the u… https://t.co/GyngZfKwED"
1,Xyz42661917,Where Oppression Exist,"@cjrdxb @tame_wildcard @ambkcsingh #Modi, chaddi boys n upper class minions are dreaming about taking India back to… https://t.co/GSvrk1mlN2"
1,NostradamuSez,Bombay,Once again #Modi proves how cheap he can be. A regular business call by the Canadian PM JT is blown out to the gene… https://t.co/TQ6Leb5eEM
0,BandanaMrs,"KOLKATA ,West Bengal .INDIA .",WE WANT TO KNOW WHETHER PROMISES GIVEN BY #MODI GOVT IN 2014&amp;  2019 VIZ CREATING 2 CRORES EMPLOYMENT OPPORTUNITIES… https://t.co/8FMD59DyyY
1,IshaSG,,"Mr. #Modi knows what the world should know. 

90 countries are in waiting list right now for #vaccines from #India.… https://t.co/7ztSsdlZj0"
0,IamKartiParihar,"Udhampur, J&K","In 1965, during the Indo-Pak war, India had to depend on foreign countries for weapons. Deendayal Ji had said at th… https://t.co/HUKbgSPIxe"
1,amituvaacha,भारत,"@EconomicTimes When the target is #Modi, such herd-mentality people will mend fences with anyone."
0,ConceptShowbiz,,Shehzad Roy took shots at Indian Prime Minister Narendra Modi and Air Force pilot Abhinandan Varthaman in his lates… https://t.co/cgOGY6x01T
1,zady4545,,"#Modi is an inspiration after all.

BBC News - India: Nepal bans India climbers for faking Everest summit
https://t.co/GDmIf6uX25"
0,BandanaMrs,"KOLKATA ,West Bengal .INDIA .",MAM NOW REG #DHFLSCAM FACTS ARE EXHIBITED FULLY WHICH HAPPENED DUE TO CALLOUSNESS #RBI #MODI GOVT #ICRA #BRICKWORK… https://t.co/VComQyBpOi
1,rahul_ranjan786,"New Delhi, India","Must listen &amp; watch till end

#BJPGovtDictatingTwitter 
#BigExpose #modi #amitshah https://t.co/VqEUSHs902"
1,AdityaGaonkar1,"San Francisco, CA","@TheRealKeean #Modi does not want people of #Canada to suffer, because of their in-competent and selfish politician… https://t.co/wUe8ck80Wn"
0,TheRustEdition,"Mumbai, India","Prime Minister #Modi has travelled to America, Pakistan and China, but has not been able to reach the border of the… https://t.co/BJhkfMPKh5"
0,Yasub14,Skardu Pakistan,"It looks like that #ImranKhan and #Modi are on same page. 
#IslamabadProtests https://t.co/1eX64aZFDY"
0,BandanaMrs,"KOLKATA ,West Bengal .INDIA .",@JPNadda SIRJI WE DON'T UNDERSTAND WHENEVER ANY CITIZEN UNEARTHS ANY HARDSHIP FACED BY HIM DUE TO INCOMPETENTCY &amp; C… https://t.co/HvTceLM4Xg
1,KashmirPivot,,"Expressing his appreciation, PM #Trudeau said that if the world managed to conquer #COVID19, it would be significan… https://t.co/lTLawvSbRr"
1,KashmirPivot,,Prime Minister #Modi assured his #Canadian counterpart that #India will do its best to support #Canada's vaccinatio… https://t.co/dnTvTwLs6u
1,KashmirPivot,,"#Canadian PM #JustinTrudeau called on PM #NarendraModi, bringing an end to speculation about strained bilateral tie… https://t.co/biVULbNHu1"
1,hamBhartiya,"New Delhi, India","@narendramodi #Modi ji all is well...

But we need #lover down #petrol rates."
1,Impregnable007,"New Delhi, India","@Dharmen54325481 Every one of them will have to face the consequences, this time #Modi Govt is very serious now."
1,avanifire,Mumbai,SCN notices served to small service providers for FY 2015-16 are illegal and should be withdrawn.  Pls check this..… https://t.co/iIk3DKOmCh
0,EtherealKashmir,US,@Rajeevprd @Jalali60243569 @cdmpatra @AliceGWells @UNHumanRights @hrw @HumanRightsCtte @EURightsAgency… https://t.co/yTuOl6J8AX
1,TheTrollKing007,"Mumbai, India","@YusufDFI Justin fuc**ed #Modi brutally how imposter are #Endian claiming he was begging for vaccine, wrong percept… https://t.co/78CtXlHuwL"
1,Nation_First_1_,,@yadwinder216 @PolitikKarma @ShashiTharoor @PrakashJavdekar @GretaThunberg It is not about #Modi or #BJP .. we may… https://t.co/so9WwYkd6a
0,EtherealKashmir,US,@Manish66984682 @RedPill45428851 @KaeshurCronicle @000satyam Hope the cry cry #Modi has stopped crying #FreeKashmir… https://t.co/KFH7v5CbbV
0,GurdevKwt,,#modi were are missing Farmers and navdeep https://t.co/WKBD8uy0xJ
1,RusthumHere,,"#Summer is Coming 

#Modi is PM of India

endhanna idhi.... Marchu marchu https://t.co/xf5UTspGxC"
0,ashi_always,,Any shame #JustinTrudeau @JustinTrudeau asking the same country #India  ..same PM #Modi for vaccines..to whom you h… https://t.co/YXjgmYdBCY
1,Ishivanagendra,"Hyderabad, India",@Justice_4Vizag @DrKSVarma @krishnareddy083 @BrahmaUbaach @Vizag_Airport @VizagCityNews @naren970 @vizagresident… https://t.co/SqDz2XOnsn
0,thethoughtstudi,Meros.,This is no victory . China controls 1000sq km of Indian land .. and after entering so many kms .. now india is movi… https://t.co/SaCQ5yZRKf
0,masi_va,,@ndtv You retreating from own positions? Y is #India retreating.. It never occupied Chinese area.... So you guys r… https://t.co/0JdvkJiivr
0,NiezenRonald,,The politically power hungry coercing the economically craven.  #modi #india #facebook   via @NYTimes https://t.co/FIcweiFyWC
1,IndraneelPaul3,India,Our so called #media or #newschannels also didn't showed that #India 🇮🇳 send vaccines to #Canada under d leadership… https://t.co/bpnZUuVmpd
0,Strategical1st,,I think he’s not kidding but telling reality about #Fascist #Modi #RSS &amp; its inhuman policies of #BJP Govt in… https://t.co/SVEpRQsLH8
0,MSMscarecrow,New Delhi,"Whole world knows #RanjanGogoi is accused.
He saved #Modi and #Shah, and got the #RajyaSabha seat as return gift fr… https://t.co/UH0WocXbW2"
0,Rajesh_5679,"Andhra Pradesh, India","#Chana price low #petrol_and_diesel rate #hike 

#Farmers ko acche Din Aaya...

@narendramodi
@PMOIndia

#modi sir rocking....."
1,Mahisajjan007,"Vijayapura, India","Someday if #modi ji tells ""Don't eat shit"", Am pretty sure these left-liberal chutiyas n chamchaas will respond wit… https://t.co/md3aejMXla"
0,MSMscarecrow,New Delhi,Dilly dallying by @the_hindu in supporting #Modi's Nazi initiatives. https://t.co/uynfr7FJe8
0,Rakesh___Kumar,Bokaro/Del./Mumbai/KualaLumpur,@SalmanSoz @narendramodi Without #Modi on #Twitter wht u guys will do...jobless?
0,ottawafamtree,"Ottawa, Canada","#ModiStyle #Injustice
They were accused of plotting to #overthrow the #Indian #PM #Modi’s government ..
The evidenc… https://t.co/7PFrjBwOVZ"
0,Prakash24_7,"Coimbatore, India","India Is Poorest Country, 
But We Sale Petrol For rs.90👌🏻🤦‍♂️
#Modi #FarmersProtest #BJP #Farmers @savukku"
1,MSMscarecrow,New Delhi,"Nehru, Indira, and Rajiv Gandhi being shamed on different reasons than what is used for Modi.
#Nehru: for selling… https://t.co/4sCv9rH272"
0,peoples_review,"Asansol, India",Behind #Modi's #andolanjeevi remark lies his sheer insecurity caused by the growth of the #KisanAndolan… https://t.co/RqmoRMJhx5
0,mmaq78,"Hyderabad, India",Criminal mentality of fascist #Modi Gov't has been exposed in #BhimaKoregaon arrest of activists Gov't of India was… https://t.co/7gWmtkxPnj
1,FuruYogi,Shinghu Border,"#Modi, his #bhakts,  and #India have resorted to crushing the freedom of speech. It reached new heights when they s… https://t.co/opEY9FTnUE"
1,Aroguden,Barquisimeto-Venezuela,"#Modi assures #Canada that #India will strive to meet its #Vaccine needs

Vía @Reuters https://t.co/lmu9V2eXAJ https://t.co/nVA3bCiM5z"
1,Abish_24,Bahrain,@TheDailyShow Thank you @TheDailyShow The farmers of India need help and support against a regime that works for th… https://t.co/56i0kGH0KH
1,RajasthanRefor1,,Will #Chief #Minister #nitishkumar  party join #Modi  government? Know what the answer washttps://hindi.news18.com/… https://t.co/LsmshMAj8m
0,SyedNHashmi,,@Beingsajiddarr @State_SCA Gilgit and Balochistan had internet in 2004 and I used to do business their over the Int… https://t.co/K08nOXNxMv
1,dexter2089,"New Delhi, India",@ShekharGupta She specifically said that she didn't phone PM #Modi  and cannot speak for anyone else in the govt. How stupid are you?
0,Abish_24,Bahrain,"International attention for farmers protest... Mr. #Modi you will have to stop working for #Ambani, #Adani &amp; start… https://t.co/oWrHKdPULy"
1,MSMscarecrow,New Delhi,"Even if #Modi voted to power once again in 2024, it doesnt mean he is popular leader. Example #Hitler #Mussolini… https://t.co/eyWbWVx4jM"
0,tarksheel4ever,,BluffMaster Junta Party! How do you think #MODI ji get where he did? He self propelled himself into it! 🤣 https://t.co/HQ4tP2vXdI
0,Akshayjethi1,"vadodara, gujarat","#kooapp #modi should left twitter immediately, if he is really brave"
1,MSMscarecrow,New Delhi,I dont know who advises @rsprasad on #MeitY @MeitY_NICSI. Its going to be big #PRDisaster for #Modi govt on interna… https://t.co/y0Vc0ik8KY
1,Randeep_Sisodia,"New Delhi, India","#Trudeau backstabbed us and yet #Modi , rightly so, helped him in his dire need. I just hope Trudeau will reflect a… https://t.co/jQoNkizueX"
0,Devansh1012,♡INDIA♡,"Why the World is silent over Baloch genocide? 
#Pakistan #Balochistan #BalochGenocide #India #Modi #ImranKhan… https://t.co/xMTaNrYWmK"
1,mahjoor07,World,@MichaelKugelman @NihaMasih @jslaternyc Would you call #india a #fascist state after reading this heartbreaking sto… https://t.co/6pItkmnrE0
1,DarcyInAlberta,Alberta,#Trudeau made an ABSOLUTE FOOL of himself in #India &amp; w/#Modi &amp;NOW asks a FAVOR TO BAIL HIMSELF OUT while telling… https://t.co/SDJ9be3Djf
0,Now_Abhi82,Here ...Now...Abhi ...Yahan !,"#modi should RESIGN !😷

We want RE-ELECTION !

#Investing #Sensex #Nifty #Banks #NPA  #IndianEconomy… https://t.co/ziXmtvAdso"
0,KJSingh12518759,,"#Modi is screwed, literally, figuratively and #Politically 
#Parasite_ParJeevi_Modi https://t.co/rE95omVySb"
1,Amana_Ansari, Terra Incognita,"Prime Minister #Trudeau said that if the world managed to conquer #COVID-19, it would be significant because of… https://t.co/saUNojwYkl"
0,nithyamakam,,@davinder_7 who is #killing #Farmers why daily trend in @Twitter against #Modi govt with #fakenews
1,PatwalJeetendra,"New Delhi, India","More power to you @narendramodi 

@Dev_Fadnavis 

#Modi https://t.co/sEX9K8IXe0"
1,Shaaabaaaaa,,Bikhari Khan drawing on his decades of experience on the fine art of panhandling and sharing his expertise with Jus… https://t.co/asIpFvjYKh
0,CryptoLawMaker,,All #cryptocurrency pumping but due to #crypto ban many #Indians are struggling. If India realize after $10M per… https://t.co/eZFQfgapXf
1,hemantvora_,"Mumbai, India",#modi T-shirt’s not allowed in #bengal eco park . This is shameful insecurity. Don’t understand why #mamtagovt is s… https://t.co/AzIu7QNKcb
1,Shaaabaaaaa,,"@AndTheTruth15 @TheRealKeean If he had stood ""tall"", he wouldn't call #Modi for vaccines!"
1,SudheenKulkarni,"Bombay, India","I pay tribute to Pandit #DeendayalUpadhyaya on his death anniversary.

I disagree with the anti-Muslim streak in hi… https://t.co/9H3uQUwa1Y"
1,narendravarma49,,Three BRAHMASTRAS  PM #Modi demolished all conspiracies hatched by discredited Opposition and foreign agencies who… https://t.co/yQdkq3o93P
0,Sanjeev41534972,,#theshoppersscam #theshoppers justice for all Indian pehle for scam the shoopers application and please refund all… https://t.co/nPSARpMcQI
1,jasmeetwarraich,Mumbai,"this is how egoist #modi want twitter to be in India like NIA, ED, CID https://t.co/hBLKxgOcFe"
0,JokerMudi,,"Dictatorship #Modi 
#ModiGlobalDisaster #modi #democracy  #FreedomOfExpression #FreedomOfSpeech #IndiaAgainstModi… https://t.co/AcqDO5wqJN"
1,monksvision,,"Canadian PM #JustinTrudeau requestd Prime Minister #Modi to provide 1million Covid #vaccine of Serum institute,… https://t.co/ntQSUqFQVN"
0,peoples_review,"Asansol, India",Behind #Modi's #andolanjeevi remark lies his sheer insecurity caused by the growth of the #KisanAndolan… https://t.co/RqmoRMJhx5
0,mmaq78,"Hyderabad, India",Criminal mentality of fascist #Modi Gov't has been exposed in #BhimaKoregaon arrest of activists Gov't of India was… https://t.co/7gWmtkxPnj
1,FuruYogi,Shinghu Border,"#Modi, his #bhakts,  and #India have resorted to crushing the freedom of speech. It reached new heights when they s… https://t.co/opEY9FTnUE"
1,Aroguden,Barquisimeto-Venezuela,"#Modi assures #Canada that #India will strive to meet its #Vaccine needs

Vía @Reuters https://t.co/lmu9V2eXAJ https://t.co/nVA3bCiM5z"
1,Abish_24,Bahrain,@TheDailyShow Thank you @TheDailyShow The farmers of India need help and support against a regime that works for th… https://t.co/56i0kGH0KH
1,RajasthanRefor1,,Will #Chief #Minister #nitishkumar  party join #Modi  government? Know what the answer washttps://hindi.news18.com/… https://t.co/LsmshMAj8m
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
